# s_m; x_m; y_m; psi_rad; kappa_radpm; vx_mps; ax_mps2
19.3694550; 16.4446590; 5.1299625; 0.3326289; 1.5922952; 1.0524575; 1.4834822
19.5691401; 16.3509370; 5.3055736; 0.6476591; 1.4977132; 1.3038886; 2.2276626
19.7688252; 16.2122501; 5.4497529; 0.8520000; 0.5897632; 1.6092817; 2.3215342
19.9685103; 16.0557063; 5.5747655; 0.9253393; 0.1788412; 1.8753504; 1.8529549
20.1681954; 15.8976987; 5.6898718; 0.9605990; 0.2706520; 2.0632387; 1.6732260
20.3678805; 15.7306344; 5.7987868; 1.0311046; 0.3988048; 2.2192771; 1.7322159
20.5675656; 15.5578651; 5.8938360; 1.1025103; 0.3373984; 2.3700182; 1.7836627
20.7672507; 15.3779289; 5.9776840; 1.1653536; 0.2942120; 2.5158155; 1.7976349
20.9669358; 15.1897965; 6.0520923; 1.2218141; 0.2556540; 2.6546656; 1.7538822
21.1666209; 14.9997986; 6.1161203; 1.2682664; 0.2125280; 2.7834687; 1.8009740
21.3663060; 14.8085021; 6.1716796; 1.3063597; 0.1661156; 2.9098030; 1.8679106
21.5659911; 14.6125164; 6.2215378; 1.3356480; 0.1256594; 3.0352827; 1.9240574
21.7656762; 14.4190932; 6.2656210; 1.3564461; 0.0853147; 3.1593278; 1.9906837
21.9653613; 14.2225027; 6.3069027; 1.3700296; 0.0509413; 3.2827385; 2.0168155
22.1650464; 14.0266601; 6.3459259; 1.3772131; 0.0212885; 3.4032085; 2.0454912
22.3647315; 13.8300543; 6.3842296; 1.3786182; -0.0063226; 3.5211839; 2.0210258
22.5644166; 13.6337428; 6.4227285; 1.3748063; -0.0321765; 3.6339887; 1.9473836
22.7641017; 13.4372566; 6.4625854; 1.3656512; -0.0582247; 3.7394653; 1.8567653
22.9637868; 13.2424746; 6.5044729; 1.3513638; -0.0863885; 3.8373347; 1.6736763
23.1634719; 13.0459825; 6.5502874; 1.3313740; -0.1094294; 3.9234620; 1.6036793
23.3631570; 12.8551004; 6.5992346; 1.3072691; -0.1363920; 4.0042497; 1.3934139
23.5628421; 12.6600270; 6.6549225; 1.2773250; -0.1617145; 4.0731442; 1.3099544
23.7625272; 12.4696260; 6.7160595; 1.2423991; -0.1758531; 4.1368660; 1.1778637
23.9622123; 12.2842929; 6.7826432; 1.2105864; -0.1383940; 4.1933357; 0.9706044
24.1618974; 12.0995287; 6.8545556; 1.1918294; -0.0494521; 4.2393036; 0.7070465
24.3615825; 11.9144443; 6.9292691; 1.1827081; -0.0410318; 4.2724780; 0.4768653
24.5612676; 11.7307056; 7.0053177; 1.1736338; -0.0511951; 4.2947076; 0.3358662
24.7609527; 11.5477898; 7.0832410; 1.1618389; -0.0698692; 4.3102957; 0.3631392
24.9606378; 11.3651038; 7.1640679; 1.1461015; -0.0868076; 4.3270863; 0.6165464
25.1603229; 11.1829870; 7.2484478; 1.1273455; -0.0951944; 4.3554455; 1.4804829
25.3600080; 11.0034271; 7.3357134; 1.1100076; -0.0793700; 4.4228008; 2.0068865
25.5596931; 10.8253752; 7.4256101; 1.0981750; -0.0328633; 4.5125001; 2.0081815
25.7593782; 10.6472402; 7.5170421; 1.0965948; 0.0146071; 4.6005071; 1.7409994
25.9590633; 10.4690848; 7.6078519; 1.1035451; 0.0547757; 4.6754645; 0.9321717
26.1587485; 10.2900281; 7.6968157; 1.1162689; 0.0706301; 4.7151087; 0.4968222
26.3584336; 10.1095141; 7.7833458; 1.1316469; 0.0795990; 4.7361024; 0.0545947
26.5581187; 9.9286848; 7.8665280; 1.1477735; 0.0829471; 4.7384037; -0.3119860
26.7578038; 9.7450332; 7.9473679; 1.1645512; 0.0844212; 4.7252377; -0.3970595
26.9574889; 9.5606880; 8.0248388; 1.1811291; 0.0780671; 4.7084284; -0.4586408
27.1571740; 9.3758375; 8.0991667; 1.1954550; 0.0676494; 4.6889370; -0.4807282
27.3568591; 9.1902496; 8.1708738; 1.2086193; 0.0645793; 4.6684196; -0.4686695
27.5565442; 9.0024598; 8.2406872; 1.2208583; 0.0570201; 4.6483297; -0.4386332
27.7562293; 8.8146007; 8.3080877; 1.2316349; 0.0519522; 4.6294484; -0.3999010
27.9559144; 8.6265169; 8.3733769; 1.2417338; 0.0519298; 4.6121669; -0.3543221
28.1555995; 8.4382861; 8.4365292; 1.2532405; 0.0819886; 4.5968009; -0.3042808
28.3552846; 8.2479044; 8.4968758; 1.2764343; 0.1384000; 4.5835638; -0.2354050
28.5549697; 8.0567031; 8.5520211; 1.3032926; 0.1301902; 4.5732968; -0.1626299
28.7546548; 7.8647369; 8.6020515; 1.3281212; 0.1217874; 4.5661903; -0.1112804
28.9543399; 7.6687206; 8.6480464; 1.3524319; 0.1186215; 4.5613213; -0.0507480
29.1540250; 7.4726498; 8.6891463; 1.3758199; 0.1159273; 4.5590991; 0.0238953
29.3537101; 7.2762201; 8.7256188; 1.3982833; 0.1077652; 4.5601456; 0.0592216
29.5533952; 7.0784272; 8.7579322; 1.4191963; 0.0994450; 4.5627381; 0.1232013
29.7530803; 6.8805664; 8.7862566; 1.4375171; 0.0842821; 4.5681268; 0.1668235
29.9527654; 6.6820902; 8.8112774; 1.4525447; 0.0630879; 4.5754133; 0.1964454
30.1524505; 6.4843251; 8.8336929; 1.4624314; 0.0387701; 4.5839787; 0.2520971
30.3521356; 6.2856133; 8.8543756; 1.4725157; 0.0620099; 4.5949473; 0.2793308
30.5518207; 6.0871859; 8.8725761; 1.4864943; 0.0728046; 4.6070704; 0.3055635
30.7515058; 5.8878608; 8.8879607; 1.5010235; 0.0724203; 4.6202955; 0.3548546
30.9511909; 5.6890242; 8.9004141; 1.5154807; 0.0726878; 4.6356066; 0.3775048
31.1508760; 5.4894924; 8.9100098; 1.5300091; 0.0729001; 4.6518397; 0.4090338
31.3505611; 5.2897420; 8.9166999; 1.5446470; 0.0736056; 4.6693649; 0.4498873
31.5502462; 5.0902779; 8.9204446; 1.5594476; 0.0749148; 4.6885648; 0.4706101
31.7499313; 4.8902664; 8.9212042; 1.5746101; 0.0766943; 4.7085654; 0.5111016
31.9496164; 4.6906238; 8.9189022; 1.5901110; 0.0787229; 4.7301910; 0.5395331
32.1493015; 4.4907672; 8.9134518; 1.6060782; 0.0808076; 4.7529128; 0.5617274
32.3489866; 4.2913779; 8.9047886; 1.6224438; 0.0833967; 4.7764545; 0.6050222
32.5486717; 4.0915316; 8.8927742; 1.6392910; 0.0850215; 4.8016815; 0.6232920
32.7483568; 3.8923570; 8.8773935; 1.6565112; 0.0869166; 4.8275324; 0.6516624
32.9480419; 3.6936787; 8.8585784; 1.6739649; 0.0882636; 4.8544128; 0.6786915
33.1477270; 3.4944140; 8.8361578; 1.6917042; 0.0881838; 4.8822508; 0.6947873
33.3474121; 3.2968689; 8.8103935; 1.7092854; 0.0888156; 4.9105856; 0.7151281
33.5470973; 3.0993130; 8.7810494; 1.7273373; 0.0922850; 4.9395801; 0.7294590
33.7467824; 2.9017678; 8.7479700; 1.7461719; 0.0950821; 4.9689813; 0.7374130
33.9464675; 2.7063076; 8.7114310; 1.7648517; 0.0887173; 4.9985274; 0.7425491
34.1461526; 2.5113772; 8.6714657; 1.7804674; 0.0675337; 5.0281039; 0.7386851
34.3458377; 2.3161549; 8.6285457; 1.7939255; 0.0669729; 5.0573548; 0.7357600
34.5455228; 2.1218870; 8.5831078; 1.8071253; 0.0649994; 5.0863226; 0.7313516
34.7452079; 1.9282681; 8.5351696; 1.8198115; 0.0630386; 5.1149543; 0.7254734
34.9448930; 1.7349310; 8.4847059; 1.8324140; 0.0630040; 5.1431985; 0.7118219
35.1445781; 1.5426302; 8.4319141; 1.8450510; 0.0636048; 5.1707611; 0.7005872
35.3442632; 1.3510077; 8.3766852; 1.8577954; 0.0643789; 5.1977461; 0.6895028
35.5439483; 1.1597732; 8.3188980; 1.8707324; 0.0651532; 5.2241680; 0.6768770
35.7436334; 0.9690185; 8.2585336; 1.8838427; 0.0658437; 5.2499768; 0.6547054
35.9433185; 0.7799461; 8.1959569; 1.8970032; 0.0662952; 5.2748200; 0.6403838
36.1430036; 0.5912595; 8.1307288; 1.9102651; 0.0664736; 5.2990071; 0.6260832
36.3426887; 0.4029648; 8.0628220; 1.9235750; 0.0664779; 5.3225478; 0.5978366
36.5423738; 0.2163401; 7.9927052; 1.9367935; 0.0661567; 5.3449297; 0.5748092
36.7420589; 0.0304485; 7.9200506; 1.9499573; 0.0656607; 5.3663614; 0.5556203
36.9417440; -0.1549445; 7.8447715; 1.9630441; 0.0651180; 5.3869966; 0.5169411
37.1414291; -0.3387759; 7.7673270; 1.9759545; 0.0643702; 5.4061247; 0.4838827
37.3411142; -0.5217510; 7.6874603; 1.9887350; 0.0635919; 5.4239683; 0.4585599
37.5407993; -0.7040463; 7.6051159; 2.0013833; 0.0628849; 5.4408241; 0.4000930
37.7404844; -0.8847993; 7.5207198; 2.0138437; 0.0620909; 5.4554883; 0.3593295
37.9401695; -1.0647240; 7.4339776; 2.0261816; 0.0614119; 5.4686249; 0.3244919
38.1398546; -1.2437017; 7.3449680; 2.0383983; 0.0608692; 5.4804608; 0.2361265
38.3395397; -1.4213064; 7.2539322; 2.0504931; 0.0603757; 5.4890575; 0.1912278
38.5392248; -1.5979747; 7.1606690; 2.0625252; 0.0600903; 5.4960097; 0.1289107
38.7389099; -1.7734513; 7.0653238; 2.0745105; 0.0599814; 5.5006914; 0.0277141
38.9385950; -1.9478174; 6.9678577; 2.0864991; 0.0600829; 5.5016974; -0.0278963
39.1382801; -2.1209494; 6.8683352; 2.0985273; 0.0604289; 5.5006848; -0.1271398
39.3379652; -2.2928718; 6.7667272; 2.1106523; 0.0610380; 5.4960675; -0.2293681
39.5376503; -2.4636325; 6.6629747; 2.1229351; 0.0619717; 5.4877276; -0.2945282
39.7373354; -2.6328757; 6.5572541; 2.1354169; 0.0631972; 5.4770000; -0.4260126
39.9370205; -2.8009993; 6.4492575; 2.1482097; 0.0648786; 5.4614460; -0.5163495
40.1367056; -2.9676569; 6.3391251; 2.1613349; 0.0664149; 5.4425341; -0.5859232
40.3363907; -3.1325635; 6.2269814; 2.1747156; 0.0675365; 5.4209941; -0.7243218
40.5360758; -3.2963910; 6.1123435; 2.1878773; 0.0641299; 5.3942474; -0.7915152
